Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T2,D7,1600,32.2,1:35:40
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T4,C2,0,30.1,1:24:42
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T5,D7,1600,31.2,1:30:33
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T6,D5,1400,23.7,54:05:00
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T7,D4,1300,29.8,1:23:16
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T8,C1,0,32.3,1:36:23
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T9,D7,1600,29.6,1:22:23
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T10,D5,1400,31.9,1:34:10
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T11,D6,1500,32.7,1:38:29
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T12,D4,1300,32.5,1:37:23
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T13,D6,1500,33.2,1:41:34
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T14,D5,1400,30.9,1:28:43
11/15/25,8,10,11.2,11/21/25,L. Minutus,2,MgCl2,T15,C2,0,30.8,1:27:10
