Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T1,D4,1300,24.5,54:20:00
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T2,D5,1400,26.2,1:02:05
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T3,C1,0,20.8,39:48:00
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T4,D7,1600,30.5,1:21:30
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T6,D5,1400,28.1,1:10:40
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T7,D5,1400,32.7,1:33:18
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T10,C2,0,29.4,1:16:42
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T11,C2,0,31.1,1:24:40
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T13,C1,0,30.7,1:22:37
12/2/25,5,10,11.2,12/8/25,L. Minutus,3,MgCl2,T14,D6,1500,20.5,38:00:00
