Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T1,D5,1400,25.2,58:39:00
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T2,D7,1600,27,1:06:02
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T3,D1,1000,27.4,1:08:01
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T4,D6,1500,24.9,57:33:00
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T6,D4,1300,31.8,1:28:31
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T7,D4,1300,31.6,1:27:33
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T8,C2,0,32.9,1:34:29
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T9,D7,1600,33.7,1:38:46
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T10,D5,1400,29.4,1:17:06
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T11,D1,1000,36.3,1:52:24
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T12,C1,0,32.2,1:30:53
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T13,D6,1500,29.7,1:18:40
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T14,D5,1400,34.3,1:41:29
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T15,D1,1000,35.5,1:47:58
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T16,D6,1500,32,1:29:49
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T17,D7,1600,23.9,52:57:00
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T18,D5,1400,30,1:19:46
12/4/25,5,10,11,12/10/25,L. Minutus,4,MgCl2,T19,D6,1500,32.7,1:33:12
12/4/25,5,10,11,12/10/25,L. Minutus,3,NaCl,T20,C1,0,34,1:39:50
